area,construction,room,asansor,parking,storeRoom,price
111,1401,2,آسانسور,آسانسور,آسانسور,۴٬۰۵۰٬۰۰۰٬۰۰۰ تومان
200,1392,3,آسانسور,آسانسور,آسانسور,۱۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان
113,1401,2,آسانسور,آسانسور,آسانسور,۳٬۹۵۰٬۰۰۰٬۰۰۰ تومان
76,1401,2,آسانسور,آسانسور,آسانسور,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
47,1393,1,آسانسور ندارد,آسانسور ندارد,آسانسور ندارد,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان
79,1400,2,آسانسور,آسانسور,آسانسور,۳٬۹۵۰٬۰۰۰٬۰۰۰ تومان
98,1394,2,آسانسور,آسانسور,آسانسور,۶٬۴۵۰٬۰۰۰٬۰۰۰ تومان
400,1401,4,آسانسور,آسانسور,آسانسور,۱۰۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
102,1401,2,آسانسور,آسانسور,آسانسور,۳٬۵۷۰٬۰۰۰٬۰۰۰ تومان
55,1401,1,آسانسور,آسانسور,آسانسور,۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان
109,1397,2,آسانسور,آسانسور,آسانسور,۱٬۵۰۴٬۰۰۰٬۰۰۰ تومان
110,1398,2,آسانسور,آسانسور,آسانسور,۹٬۷۰۰٬۰۰۰٬۰۰۰ تومان
174,1397,4,آسانسور,آسانسور,آسانسور,۱۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان
178,1401,3,آسانسور,آسانسور,آسانسور,۱۸٬۶۹۰٬۰۰۰٬۰۰۰ تومان
71,1388,2,آسانسور,آسانسور,آسانسور,۳٬۳۵۰٬۰۰۰٬۰۰۰ تومان
80,1394,2,آسانسور,آسانسور,آسانسور,۴٬۴۵۰٬۰۰۰٬۰۰۰ تومان
95,1401,2,آسانسور,آسانسور,آسانسور,۱٬۲۹۰٬۰۰۰٬۰۰۰ تومان
100,1401,2,آسانسور,آسانسور,آسانسور,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان
144,1392,3,آسانسور,آسانسور,آسانسور,۸٬۱۵۰٬۰۰۰٬۰۰۰ تومان
137,1386,3,آسانسور,آسانسور,آسانسور,۷٬۸۰۰٬۰۰۰٬۰۰۰ تومان
